CIMA,SMN,href_m,radio_max_km,nombre_datohorario
IGM1,Aeroparque Buenos Aires,6,15,AEROPARQUE AERO
IGM1,BUENOS AIRES,25,15,BUENOS AIRES
AUTF,USHUAIA,57,15,USHUAIA AERO
AZUL,AZUL,147,15,AZUL AERO
CATA,CATAMARCA,454,15,CATAMARCA AERO
EBYP,POSADAS,125,15,POSADAS AEERO
ETSJ,MENDOZA OBSERVATORIO,827,15,MENDOZA OBSERVATORIO
ETSJ,MENDOZA,704,15,MENDOZA AERO
LPGS,LA PLATA,23,15,LA PLATA AERO
MA01,NEUQUEN,271,15,NEUQUEN AERO
MA01,CIPOLLETTI,265,15,CIPOLLETTI
MECO,MERCEDES,107,15,MERCEDES AERO (CTES)
MPL2,MAR DEL PLATA,21,15,MAR DEL PLATA AERO
MZAC,MENDOZA OBSERVATORIO,827,15,MENDOZA OBSERVATORIO
MZAC,MENDOZA,704,15,MENDOZA AERO
PEJO,PEHUAJO,87,15,PEHUAJO AERO
RIO2,RIO GRANDE B.A.,22,15,RIO GRANDE B.A.
SL01,SAN LUIS,713,15,SAN LUIS AERO
SRLP,SANTA ROSA,191,15,SANTA ROSA AERO
TERO,SANTIAGO DEL ESTERO,199,15,SANTIAGO DEL ESTERO AERO
TUC1,TUCUMAN,450,15,TUCUMAN AERO
TUCU,TUCUMAN,450,15,TUCUMAN AERO
UCOR,CORDOBA OBSERVATORIO,425,15,CORDOBA OBSERVATORIO
UCOR,ESC.AVIACION MILITAR,502,15,ESC.AVIACION MILITAR AERO
UNPA,RIO GALLEGOS,19,15,RIO GALLEGOS AERO
VBCA,BAHIA BLANCA,83,15,BAHIA BLANCA AERO
BORC,BASE ORCADAS,12,15,BASE ORCADAS
PDE3,PUERTO DESEADO,80,15,PUERTO DESEADO AERO
CHAC,RESISTENCIA,52,15,RESISTENCIA AERO
RIO4,RIO CUARTO,421,15,RIO CUARTO AERO
MZAU,SAN CARLOS (MZA),940,15,SAN CARLOS (MZA)
PRNA,PARANA,78,15,PARANA AERO
COCA,CORRIENTES,62,15,CORRIENTES AERO
SUAR,CORONEL SUAREZ,233,15,CORONEL SUAREZ AERO
MBIO,BASE MARAMBIO,198,15,BASE MARAMBIO
DORE,DOLORES,9,15,DOLORES AERO
3ARO,TRES ARROYOS,115,15,TRES ARROYOS
PATA,VIEDMA,7,15,VIEDMA AERO
PACO,PASO DE LOS LIBRES,70,15,PASO DE LOS LIBRES AERO
SPRZ,BASE ESPERANZA,24,15,BASE ESPERANZA
RECO,RECONQUISTA,53,15,RECONQUISTA AERO
UYSA,CONCORDIA,38,15,CONCORDIA AERO
MZAR,SAN MARTIN (MZA),653,15,SAN MARTIN (MZA)
LARJ,LA RIOJA,429,15,LA RIOJA AERO
JCHL,JACHAL,1175,15,JACHAL
RASF,RAFAELA,99,15,RAFAELA AERO
BCH1,BARILOCHE,840,15,BARILOCHE AERO
FOSA,FORMOSA,60,15,FORMOSA AERO
MZRF,SAN RAFAEL,748,15,SAN RAFAEL AERO
ORAN,ORAN,357,15,ORAN AERO
SMAN,CHAPELCO,779,15,CHAPELCO AERO
AGGO,EL PALOMAR,12,50,EL PALOMAR AERO
AGGO,MORON,24,50,MORON AERO
AGGO,EZEIZA,20,50,EZEIZA AERO
AGGO,AEROPARQUE,6,50,AEROPARQUE AERO
AGGO,BUENOS AIRES,25,50,BUENOS AIRES
AGGO,LA PLATA,23,50,LA PLATA AERO
CORD,CORDOBA,495,50,CORDOBA
CORD,CORDOBA OBSERVATORIO,425,50,CORDOBA OBSERVATORIO
CORD,ESC.AVIACION MILITAR,502,50,ESC.AVIACION MILITAR AERO
CSJ1,SAN JUAN,598,50,SAN JUAN AERO
EPGZ,SAUCE VIEJO,18,50,SAUCE VIEJO AERO
EPGZ,EL TREBOL,96,50,EL TREBOL
EPSF,SAUCE VIEJO,18,50,SAUCE VIEJO
EPSF,PARANA,78,50,PARANA AERO
ESQU,ESQUEL,797,50,ESQUEL AERO
ITAI,IGUAZU,270,50,IGUAZU AERO
MGUE,MALARGUE,1425,50,MALARGUE AERO
MZAE,SAN MARTIN (MZA),653,50,SAN MARTIN (MZA)
MZAL,SAN MARTIN (MZA),653,50,SAN MARTIN (MZA)
MZAL,MENDOZA,704,50,MENDOZA AERO
MZAL,MENDOZA OBSERVATORIO,827,50,MENDOZA OBSERVATORIO
NGAQ,PCIA. ROQUE SAENZ PEÑA,93,50,PCIA. ROQUE SAENZ PEÑA AER
OAFA,SAN JUAN,598,50,SAN JUAN AERO
OJOA,VILLA MARIA DEL RIO SECO,341,50,VILLA MARIA DEL RIO SECO
RWSN,TRELEW,43,50,TRELEW AERO
UNRO,ROSARIO,25,50,ROSARIO AERO
UNSA,JUJUY,905,50,JUJUY AERO
UNSA,SALTA,1221,50,SALTA AERO
UNSJ,SAN JUAN,598,50,SAN JUAN AERO
UYCO,LA PLATA,23,50,LA PLATA AERO
NESA,SAN ANTONIO OESTE,20,49,SAN ANTONIO OESTE AERO
OBRA,OBERA,303,0,OBERA AERO
RODE,JACHAL,1175,37,JACHAL
SMDM,LAS FLORES,36,50,LAS FLORES AERO
TGTA,TINOGASTA,1201,0,TINOGASTA
NEQN,NEUQUEN,271,15,NEUQUEN AERO
